desc_id,text_match_desc_ids,text_match_strings
vda.h.illbk.07,vda.g.illbk.07,"and in what houses dwell the wretched <br>Drunken with woe forgotten. and shut up from cold despair,<br>Tell me where dwell the thoughts forgotten till thou call them forth <br>Tell me where dwell the joys of old? & where the ancient loves?<br>And when will they renew again & the night of oblivion past?<br>That I might traverse times & spaces far remote and bring<br>Comforts into a pre"
vda.h.illbk.07,vda.g.illbk.07,"ent sorrow and a night of pain<br>Where goest thou O thought! to what remote land is thy flight?<br>If thou returnest to the present moment of affliction<br>Wilt thou bring comforts on thy wings, and dews and honey and balm;<br>Or poison from the desart wilds, from the eyes of the envier.<br>Then Bromion said"
vda.h.illbk.07,vda.g.illbk.07,"and shook the cavern with his lamentation<br>Thou knowest that the ancient trees seen by thine eyes have fruit;<br>But knowest thou that trees and fruits flourish upon the earth<br>To gratify senses unknown? trees beasts and birds unknown:<br>Unknown, not unpercievd, spread in the infinite microscope,<br>In places yet unvisited by the voyager. and in worlds<br>Over another kind of seas, and in atmospheres unknown"
vda.h.illbk.07,vda.g.illbk.07,"Ah! are there other wars, beside the wars of sword and fire!<br>And are there other sorrows, beside the sorrows of poverty?<br>And are there other joys, beside the joys of riches and ease?<br>And is there not one law for both the lion and the ox?<br>And is there not eternal fire, and eternal chains?<br>To bind the phantoms of existence from eternal life?<br>Then Oothoon waited silent all the day, and all the night"
vda.h.illbk.07,vda.f.illbk.07,"and in what houses dwell the wretched <br>Drunken with woe forgotten. and shut up from cold despair,<br>Tell me where dwell the thoughts forgotten till thou call them forth"
vda.h.illbk.07,vda.f.illbk.07,"Tell me where dwell the joys of old? & where the ancient loves?<br>And when will they renew again & the night of oblivion past?<br>That I might traverse times & spaces far remote and bring<br>Comforts into a present sorrow and a night of pain<br>Where goest thou O thought! to what remote land is thy flight?<br>If thou returnest to the present moment of affliction<br>Wilt thou bring comforts on thy wings. and dews and honey and balm;<br>Or poison from the desart wilds, from the eyes of the envier.<br>Then Bromion said"
vda.h.illbk.07,vda.f.illbk.07,"and shook the cavern with his lamentation<br>Thou knowest that the ancient trees seen by thine eyes have fruit;<br>But knowest thou that trees and fruits flourish upon the earth<br>To gratify senses unknown? trees beasts and birds unknown:<br>Unknown, not unpercievd, spread in the infinite microscope,<br>In places yet unvisited by the voyager. and in worlds<br>Over another kind of seas, and in atmospheres unknown"
vda.h.illbk.07,vda.f.illbk.07,"Ah! are there other wars, beside the wars of sword and fire!<br>And are there other sorrows, beside the sorrows of poverty?<br>And are there other joys, beside the joys of riches and ease?<br>And is there not one law for both the lion and the ox?<br>And is there not eternal fire, and eternal chains?<br>To bind the phantoms of existence from eternal life?<br>Then Oothoon waited silent all the day, and all the night"
vda.h.illbk.07,vda.j.illbk.07,"and in what houses dwell the wretched <br>Drunken with woe forgotten, and shut up from cold despair,<br>Tell me where dwell the thoughts forgotten till thou call them forth"
vda.h.illbk.07,vda.j.illbk.07,Tell me where dwell the joys of old
vda.h.illbk.07,vda.j.illbk.07,"where the ancient loves?<br>And when will they renew again & the night of oblivion past?<br>That I might traverse times & spaces far remote and bring<br>Comforts into a present sorrow and a night of pain<br>Where goest thou O thought! to what remote land is thy flight?<br>If thou returnest to the present moment of affliction<br>Wilt thou bring comforts on thy wings, and dews and honey and balm;<br>Or poison from the desart wilds, from the eyes of the envier.<br>Then Bromion said; and shook the cavern with his lamentation<br>Thou knowest that the ancient trees seen by thine eyes have fruit;<br>But knowest thou that trees and fruits flourish upon the earth<br>To gratify senses unknown? trees beasts and birds unknown:<br>Unknown, not unpercievd, spread in the infinite microscope,<br>In places yet unvisited by the voyager, and in worlds<br>Over another kind of seas, and in atmospheres unknown"
vda.h.illbk.07,vda.j.illbk.07,"Ah! are there other wars, beside the wars of sword and fire!<br>And are there other sorrows, beside the sorrows of poverty?<br>And are there other joys, beside the joys of riches and ease?<br>And is there not one law for both the lion and the ox?<br>And is there not eternal fire, and eternal chains?<br>To bind the phantoms of existence from eternal life?<br>Then Oothoon waited silent all the day, and all the night"
vda.h.illbk.07,vda.a.illbk.06,"and in what houses dwell the wretched <br>Drunken with woe forgotten. and shut up from cold despair,<br>Tell me where dwell the thoughts forgotten till thou call them forth <br>Tell me where dwell the joys of old? & where the ancient loves?<br>And when will they renew again & the night of oblivion past?<br>That I might traverse times & spaces far remote and bring<br>Comforts into a present sorrow and a night of pain<br>Where goest thou O thought! to what remote land is thy flight?<br>If thou returnest to the present moment of affliction<br>Wilt thou bring comforts on thy wings, and dews and honey and balm;<br>Or poison from the desart wilds, from the eyes of the envier.<br>Then Bromion said; and shook the cavern with his lamentation<br>Thou knowest that the ancient trees seen by thine eyes have fruit;<br>But knowest thou that trees and fruits flourish upon the earth<br>To gratify senses unknown? trees beasts and birds unknown:<br>Unknown, not unpercievd, spread in the infinite microscope,<br>In places yet unvisited by the voyager. and in worlds<br>Over another kind of seas. and in atmospheres unknown"
vda.h.illbk.07,vda.a.illbk.06,"Ah! are there other wars, beside the wars of sword and fire!<br>And are there other sorrows, beside the sorrows of poverty?<br>And are there other joys, beside the joys of riches and ease?<br>And is there not one law for both the lion and the ox?<br>And is there not eternal fire, and eternal chains?<br>To bind the phantoms of existence from eternal life?<br>Then Oothoon waited silent all the day, and all the night"
