primary_desc_id,match_desc_id,fragment
america.f.illbk.08,america.i.illbk.08,"The morning comes, the night decays, the watchmen leave <br>their stations;<br>The grave is burst, the spices shed, the linen wrapped up;<br>The bones of death, the cov'ring clay, the sinews shrunk & dry'd.<br>Reviving shake. inspiring move, breathing! awakening!<br>Spring like redeemed captives when their bonds & bars are burst;<br>Let the slave grinding at the mill, run out into the field;<br>Let him look up into the heavens & laugh in the bright air;<br>Let the inchained soul shut up in darkness and in sighing,<br>Whose face has never seen a smile in thirty weary years;<br>Rise and look out, his chains are loose, his dungeon doors are open<br>And let his wife and children return from the opressors scourge;<br>They look behind at every step & believe it is a dream.<br>Singing, The Sun has left his blackness, & has found a fresher morning<br>And the fair Moon rejoices in the clear & cloudless night;<br>For Empire is no more, and now the Lion & Wolf shall cease"
jerusalem.e.illbk.85,milton.b.illbk.09,Where Beulah lovely terminates
jerusalem.e.illbk.85,milton.a.illbk.09,Where Beulah lovely terminates
jerusalem.e.illbk.85,milton.c.illbk.11,Where Beulah lovely terminates
jerusalem.e.illbk.85,milton.d.illbk.12,Where Beulah lovely terminates
jerusalem.e.illbk.85,jerusalem.e.illbk.60,lovely Shadow of Sleeping Albion
jerusalem.e.illbk.85,jerusalem.e.illbk.60,n<br>Why wilt thou rend thyself apart
bb515.2.comb.06,bb515.2.comb.01,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.2.comb.18,"27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.2.comb.07,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.1.comb.18,"27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.2.comb.02,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.1.comb.11,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.2.comb.11,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.1.comb.07,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.1.comb.01,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.2.comb.19,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.2.comb.08,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
bb515.2.comb.06,bb515.1.comb.19,"Pubd. June 27th. 1796, by R. Edwards, No. 142 New Bond Street"
urizen.g.illbk.13,urizen.d.illbk.12,"Age passed over,<br>And a state of dismal woe"
