title,medium,composition_date,composition_date_value,image,copies,bad_id,info,info_filename,virtual,virtual_objects,preview,preview_copies
Water Color Drawings,wc,1775-c. 1790,1775,1780swc.jpg,,1780swc,"<p>Blake's activities as a water colorist from the mid-1770s through the next decade reveal his increasing skills in that medium, ranging from apprentice work to original compositions exhibited at the Royal Academy. Assignments from his engraving instructor, James Basire, included the precise copying of tomb monuments in Westminster Abbey (Objects 1-5). These water colors were later engraved, probably with Blake's assistance, as illustrations for Joseph Ayloffe's <i>Account of Some Ancient Monuments in Westminster Abbey</i> (1780), republished in volume 2 of the Society of Antiquaries' <i>Vetusta Monumenta</i> (c. 1789).  This early contact with Gothic art profoundly affected Blake's later work as an artist and his writings on the history of art.</p><p>Shortly after his release from apprenticeship in 1779, Blake began to develop a series of designs picturing major events in the history of England (Objects 7-12). He exhibited one of these, <i>The Death of Earl Goodwin</i> (Object 9) or a more finished version of the design, at the Royal Academy in 1780. This group of pictures may have culminated in ""The History of England, a small book of Engravings,"" advertised in Blake's prospectus <i>To the Public</i> in October 1793. Unfortunately, no copy of that work has ever been recorded. Blake developed at least one work in this series, <i>Pestilence, Probably the Great Plague of London</i> (Object 12), into a slightly larger and more finished water color (Object 14). <i>Lear and Cordelia</i> (Butlin 53) was probably executed as part of the history of England series but is presented in the Archive under Water Color Drawings, Illustrations to Shakespeare.</p><p>Blake's early water colors include several designs with biblical subjects (Objects 6, 13, 15, 18, 20-23, 27). The most highly finished and important of these are three illustrations to the story of Joseph and his brethren recounted in Genesis (Objects 20, 22, 23). These were exhibited at the Royal Academy in 1785. One year earlier, Blake's <i>A Breach in a City, the Morning after the Battle</i> (Object 19), had appeared at the same venue. Blake was trying, by the mid-1780s, to establish his reputation as a ""history"" painter&mdash;that is, as a specialist in themes taken from history, the Bible, and canonical literary texts such as Milton's <i>Paradise Lost</i>. In the eighteenth century, such subjects were believed to be appropriate for the greatest artistic ambitions, but all of Blake's exhibited works were in water colors rather than the more highly regarded medium of oil painting.</p><p>Almost all of Blake's water colors fit comfortably within the long tradition of water color <i>drawing</i>, in which one delineates form by line and the tinting is confined within firm outlines. Water color <i>painting</i>, a style developed by artists such as J. M. W. Turner, allowed for a freer use of washes, unconfined by pen and ink or pencil boundaries and without underlying washes laid in for modeling.",1780swc.info.xml,1,"but5.1,but7.1,but8.1,but9.1,but10.1,but75.1,but51.1,but52.1,but60.1,but62.1,but64.1,but184.1,but109.1,but185.1,but127.1,but133r.1,but96.1,but144.1,but191.1,but155.1,but158.1,but156.1,but157.1,but87r.1,but88r.1,but91.1,but258.1",0,  
Illustrations to Shakespeare,wc,c. 1779-c. 1825,1779,shakespearewc.jpg,,shakespearewc,"<p>Although less extensive and well known than his illustrations of John Milton's poems, Blake's water colors based on Shakespeare's plays constitute a significant group of designs. The earliest, dating from c. 1779 (Butlin 53), is probably one of Blake's illustrations of English history but nonetheless evokes Shakespeare's <i>King Lear</i>. The series of seven small ovals picturing characters from the plays also dates from Blake's early years (Butlin 84). The concentrated focus on just one or two figures filling most of the pictorial space may be Blake's response to popular interest in miniature portraiture. The reason for his execution of this group is not known; like the English history designs, they may have been intended for eventual publication as engravings. The series of Shakespeare character portraits by John Hamilton Mortimer, published as engravings in the mid-1770s, may have influenced Blake's similar project.</p><p><i>Oberon, Titania and Puck with Fairies Dancing</i> (Butlin 161) is one of Blake's largest water colors of the 1780s. Its size and quality suggest that it may have been intended for exhibition, like the water colors illustrating the life of Joseph displayed at the Royal Academy in 1785. The circle of dancers and Puck's stance with arms raised echo similar motifs in George Romney's <i>Leveson-Gower Family</i>, painted in 1776-77 and published as a mezzotint by John Raphael Smith in 1781.</p><p>Blake was clearly attracted to the vision of Queen Katherine in <i>Henry VIII</i>, act 4, scene 2, for he executed four versions beginning c. 1783-90 and concluding with the highly finished and complex water color of c. 1825-26 (Butlin 247, 547.3, 548, and 549). His interest in the subject, and perhaps features of his later renditions, may have been influenced by Henry Fuseli's painting exhibited at the Royal Academy in 1781 or the slightly different version engraved by Francesco Bartolozzi in 1788. Blake's water color of Queen Katherine's dream dated 1809 is part of a series of six illustrations (Butlin 547) to Shakespeare's plays commissioned by Joseph Thomas, the clergyman who had earlier employed Blake to illustrate Milton's <i>Comus</i> and <i>Paradise Lost</i>. In a letter of 31 July 1801 to William Hayley, John Flaxman added a postscript to Blake, including the following: ""he [Thomas] also desired you [Blake] will make two designs in bister or Indian Ink, from Shakespeare's Troylus &amp; Cressida, Coriolanus, either of the 3 plays of Henry 6.<sup>th</sup> Richard the 3.<sup>d</sup> or Henry the 8.<sup>th</sup> each design for one play for which he will give a Guinea each, the dimensions as follow the paper. an upright square of 12 Inches &amp; half by 8 Inches, within this Space leaving a moderate margin, the principal figure not exceeding 6 Inches high"" (Butlin 547). Blake's designs (most now trimmed) roughly follow these size requirements, necessitated by Thomas's desire to create an extra-illustrated copy of the 1632 second folio of Shakespeare's plays, but Blake waited eight years before completing the commission, changed the medium from monochrome drawings to water colors, and illustrated only two plays, <i>Richard III</i> and <i>Henry VIII</i>, specified by Flaxman. Blake may have chosen the other passages for illustration, at some point convincing Thomas of their appropriateness.</p><p>Many of Blake's Shakespeare designs show his predilection for scenes dealing with perceptions that extend beyond the world of the physical senses. The four versions of Queen Katherine's dream epitomize this lifelong interest in imaginative and visionary experiences. A corollary is Blake's attraction to representations of the arts, demonstrated by <i>Oberon, Titania and Puck with Fairies Dancing</i> and his portrayal of Pegasus, the classical embodiment of poetic inspiration, in <i>As If an Angel Dropped Down from the Clouds</i> among the designs for Thomas (Butlin 547.6).",shakespearewc.info.xml,1,"but53.1,but84.1,but247.1,but161.1,but246.1,but547.1,but548.1,but549.1",0,
The Poetical Works of Geoffrey Chaucer,comeng,1783,1783,bb442.1.1.com.100.jpg,bb442.1,bb442,"<p>This small plate, engraved by Blake after a design by Thomas Stothard, is the engraved title page to volume 13 of <i>The Poetical Works of Geoffrey Chaucer</i>, published as part of John Bell's edition of <i>The Poets of Great Britain Complete from Chaucer to Churchill</i> issued in 109 volumes between 1777 and 1787. The letterpress title page is dated 1782 but Blake's engraving is dated 1783.</p><p>The roundel design illustrates ""a balade whiche Chaucer made in the praise or rather dispreise of women for their doublenes"" (page 106). In the eighteenth century this text was believed to have been authored by Chaucer, but modern scholars have rejected this attribution. The passage illustrated, lines 81-84 on page 109, refers to the biblical story of Samson and Delilah. In Stothard's design, Samson rests his head in Delilah's lap just after his locks were shorn by the Philistines (Judges 16: 19). Only this central design can be attributed with certainty to Stothard and Blake. The frame may have been designed and executed by others. Blake's water color of c. 1800-03, <i>Samson Subdued</i> (Butlin 455), is based on the same passage in Judges but the figures are differently configured and arranged.</p><p>In some copies of volume 13 a different plate of the same design is signed by ""Cooke"" as the engraver&mdash;probably the J. Cook who engraved other title pages in Bell's <i>Poets</i>. Later issues contain Cook's plate.</p>",bb442.info.xml,0,,1,
"Illustrations to John Bunyan's ""The Pilgrim's Progress""",wc,c. 1824-27,1824.B,but829.1.1.wc.300.jpg,but829.1,but829,"<p>It's not surprising that Blake would illustrate <i>The Pilgrim's Progress</i>, second only to the Bible as the most read book in Britain and America in Blake's time, but it's difficult to determine his motivation for taking on the project and the designs raise several questions that are hard to answer. Part one of Bunyan's allegorical tale was described on the title page as ""the similitude of a dream"" when first published in 1678. Blake began work on his illustrations no earlier than 1824 and left them unfinished upon his death in August 1827.</p> <p>In the last four years of his life, Blake was busy with several major projects, including the final stages of engraving his twenty-two illustrations to the Book of Job, the 102 water color and seven engraved illustrations to Dante's <i>Divine Comedy</i>, an illustrated manuscript of Genesis, and the printing and detailed coloring of five copies of <i>Songs of Innocence and of Experience</i> with a total of 270 plates. In light of these undertakings and Blake's increasing bouts of illness, it is difficult to believe that he would further burden himself with the task of illustrating <i>The Pilgrim's Progress</i> on speculation-that is, without a commission but in the hope of finding a purchaser. John Linnell, who commissioned the Job and Dante projects, would seem to be a logical candidate, but there is no record of his involvement. Object 20, <i>Christian with the Shield of Faith, Taking Leave of His Companions,</i> was acquired, possibly as early as 1827, by Elizabeth (Mrs. Charles) Aders, a friend of Linnell's who met Blake no later than August 1825 and in December acquired from him <i>Songs of Innocence and of Experience</i> Copy AA. She may have commissioned the entire <i>Pilgrim's Progress</i> group but kept only one of the few designs with fine, albeit incomplete, coloring by Blake. Aders apparently rejected the remaining designs or returned them to Blake's widow, Catherine, because of their unfinished condition. The first written reference to the existence of the Bunyan designs, lacking only the one retained by Aders, is in the catalogue of Sotheby's auction of 29 April 1862, lot 187, ""a series of twenty-eight designs for The Pilgrim's Progress."" The large number of works by Blake in this sale, offered anonymously ""from the cabinet of an amateur"" and possibly other vendors, were once in Frederick Tatham's possession, although with an intervening collector and/or dealer. Tatham acquired Blake's works remaining in his estate by inheritance or gift in 1831 from Catherine Blake. Thus it seems probable that either the Bunyan water colors were executed without a patron or they are the product of a commission from Aders never completed.</p> <p>William Michael Rossetti, in his catalogue of Blake's works published in the 1863 edition of Alexander Gilchrist's <i>Life of William Blake</i>, claimed that the Bunyan designs were ""much injured by the handiwork of Mrs. Blake, the colour being untidy-looking and heavy for the most part, and crude where strength is intended. Two of the designs, at any rate, may be considered untouched by Mrs. Blake"" (volume 2, page 235). Subsequent scholars have taken a less harsh view of the coloring, but most have accepted the idea that Catherine Blake, probably after her husband's death, tinted many of the designs or at least substantially augmented coloring already executed by him. Attributions of the coloring of each design are briefly noted in Butlin 829.1-29. In the list below of each object we quote or summarize Butlin's comments and add our own opinions about the attribution of the coloring to either William or Catherine Blake. These observations on coloring are also presented in the Editors' Notes to each object.</p> <p>Object 1: Butlin states that the coloring was ""more or less finished by [William] Blake himself."" Catherine Blake may have added a few touches to the coloring.</p> <p>Object 2: Butlin states that the coloring is ""by Blake."" Catherine may have reinforced some of the dark areas.</p> <p>Object 3: Butlin attributes the coloring to Blake but adds that ""the colouring of the sky near Evangelist's extended right hand seems to have been reinforced."" The reinforcing may have been by Catherine.</p> <p>Object 4: Butlin states that the design is ""finished, but not by Blake."" We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 5: Butlin states that ""Pliable seems originally to have been nude but is now clothed in blue and pink. The clouds look very dead and have probably been worked over, as have the outlines of the figures."" We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 6: Butlin states that the design was ""finished by another hand,"" presumably Catherine's. We attribute the coloring to Catherine.</p> <p>Object 7: Butlin states that ""the figures and landscape have been finished by another hand,"" presumably Catherine's. The sky may have been colored by William but we attribute the coloring of the figures and landscape to Catherine.</p> <p>Object 8: Butlin states that the coloring is ""mainly by Blake but with some touching-up, for instance the ink outlines on the figure of Christian and the colouring of the flames."" We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 9: Butlin states that the design was ""finished by another hand,"" presumably Catherine's. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 10: Butlin states that ""the figure of Christian, the wall to his left and the sky appear to have been worked over, though the rainbow effect on the right of the gate is probably Blake's."" The rainbow may be by William, but we attribute most, possibly all, of the other coloring to Catherine.</p> <p>Object 11: Butlin implies that William colored the design, ""with only a few outlines touched in in [sic] ink by a later hand."" We attribute the coloring to William and the ink outlining to Catherine.</p> <p>Object 12: Butlin states that the design was ""left very unfinished by Blake but the cage heavily gone over in black and the figures touched-up"" by another hand. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 13: Butlin states that ""both figures and setting have been heavily gone over [by another hand] to produce a finished watercolour, though the granular treatment of the flesh may be Blake's."" We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 14: Butlin states that the design, presumably including the coloring, is ""entirely by Blake apart from some possible reinforcement in the dark blues."" We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 15: Butlin states that there is ""some touching-up [by another hand] on Christian's outlines; also the mauve edge of the leading Shining One's wing."" We attribute most of the coloring to Catherine, but the blue sky may have been colored by William.</p> <p>Object 16: Butlin states that the design, presumably including the coloring, is ""largely by Blake though ink outlines probably added"" by another hand. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 17: Butlin states that the design was ""finished by Blake with the exception of the rainbow which seems to have been reinforced by another hand."" We attribute the coloring to both William and Catherine.</p> <p>Object 18: Butlin states that the design was ""finished by Blake with only slight reinforcement in pen"" by another hand. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 19: Butlin states that the design was ""lightly sketched and coloured by Blake. Prudence and the portcullis have been reinforced [by another hand?] and a streaky sky introduced into the solid architecture above the gateway. The penwork on Christian himself is probably original."" We attribute most, possibly all, of the coloring to Catherine.</p><p>Object 20: Butlin states that the design ""escaped the going-over [by another hand] suffered by most of the rest of the series."" We attribute the unfinished coloring to William.</p> <p>Object 21: Butlin states that the design has been ""heavily gone over in all parts,"" presumably by another hand. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 22: Butlin states that the design was ""left unfinished by Blake, with some subsequent reinforcement in pen of Christian's head, the outlines of the main figures and the architectural forms behind."" We concur and attribute this ""subsequent"" work to Catherine. We also attribute to her the black coloring of the trees along the left and right margins.</p> <p>Object 23: Butlin states that the design was ""left largely unfinished by Blake in pencil and delicate washes, though the colouring of the right-hand mountebank may also be his; the quartering and heavy outlines of the other one were almost certainly added later."" We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 24: Butlin states that the design is ""unfinished, with outlines reinforced in pen or point of brush and some strengthening of colour in the flames"" by another hand. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 25: Butlin states that ""all the outlines have been gone over and the greys, which fill most of the background, have probably been reinforced"" by another hand. We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 26: Butlin states that ""the outlines of the figures have been reinforced in ink [by another hand], and the colour of the sky and the tone of the architectural landscape are probably not original. ""We attribute most, possibly all, of the coloring to Catherine.</p> <p>Object 27: Butlin states that ""the heads and outlines have been reinforced in pen and ink [by another hand]. The colour of the sky has probably been added; it clashes with the tones of the four shepherds."" We attribute the coloring to both William and Catherine.</p> <p>Object 28: Butlin states that the design was ""left unfinished by Blake and miraculously free from later accretions."" The coloring of the foliage may have been added by Catherine.</p> <p>Object 29: Butlin states that ""the heads of Christian and Hopeful and their two attendant angels have been reinforced in pen and ink, and, although the rainbow-like bands of colour running through the figures are Blake's, some of the heavier touches of colour on the angels' wings may have been added"" by another hand. We attribute the coloring of the background, lower left, and the landscape at the bottom to Catherine.</p> <p>In addition to Blake's own inscription within the design of Object 10, the margins and versos of Blake's water colors bear several inscriptions in pencil, both numbers (apparently an attempt to sequence the designs) and captions or titles above and below the designs. Transcriptions are given in Butlin 829.1-29, in G. E. Bentley, Jr., ""The Inscriptions on Blake's Designs to <i>Pilgrim's Progress</i>,"" <i>Blake Newsletter</i> 6.2 (fall 1972): 68-70, and in Sotheby's auction catalogue of 14 November 1996, lot 253.With the exception of the title above the design of Object 23, these inscriptions are not shown in the Archive's reproductions. We quote Butlin's transcriptions in the Editors' Notes to each object. Butlin suggests ""that some at least of the numbers may have been the work of Blake himself"" and tentatively attributes the long inscription top right on Object 2 to Blake, but does not attribute what he calls the ""usual hand"" that wrote all others. Bentley attributes all the inscriptions to Frederick Tatham, but in our view his authorship is questionable.</p> <p>Blake produced one further illustration to <i>The Pilgrim's Progress</i>, a white-line etching titled <i>The Man Sweeping the Interpreter's Parlour</i>, based on a famous passage contrasting the harsh laws of the Old Testament to the salvific forgiveness of the New. The print probably dates from c. 1822 and thus at about the same time that the circle of young artists, including Samuel Palmer and George Richmond, who gathered around Blake in his final years began to refer to his dwelling as ""the house of the Interpreter,"" clearly an allusion to Bunyan's text and possibly to the print as well. In ""A Vision of the Last Judgment"" that he wrote in his Notebook c. 1810, Blake comments as follows on <i>The Pilgrim's Progress</i>: ""Note here that Fable or Allegory is Seldom without some Vision Pilgrims Progress is full of it..."" (Erdman page 554). Perhaps Blake intended his illustrations to expand the viewer's mental state and thereby perceive the imaginative ""Vision"" within Bunyan's allegory, the ""dream"" within the ""similitude.""</p>",but829.info.xml,0,,0,
Virgil Relief Etching,spb,1820,1820.A,bbwba504.1.6-9.sp.100.jpg,bbwba504.1,bbwba504,"<p>When planning a third edition of his successful school text, <i>The Pastorals of Virgil</i>, Robert John Thornton employed Blake to contribute some of the new designs for the two-volume work. Among his many other endeavors, Thornton was the physician for Blake's patron John Linnell, who probably played a key role in securing the commission. Blake's assignment was to illustrate Ambrose Philips' English ""imitation"" of Virgil's first eclogue.</p><p>Blake first produced four small designs as relief etchings on a single copperplate. This work, the unique impression of which was unknown until 1990, is reproduced here. Blake was again attempting to integrate one of his unconventional graphic techniques into a commercial project, just as he had tried but failed in 1805 to produce white-line etchings as illustrations for Robert Cromek's new edition of Robert Blair's <i>The Grave</i> (see the separate plate of <i>Deaths Door</i>).</p><p>The relief-etched Virgil plate was rejected by Thornton. There may have been several reasons, including the unconventional style of etching, the semi-nudity of some of the figures, and the difficulties letterpress printers would have encountered with such an unusual matrix. Apparently Blake was asked to prepare wood engravings, a medium in which he had never before worked, instead of relief etchings. His next step was to execute a series of preliminary pencil, pen and ink, and wash drawings, the basis of the wood engravings printed in the 1821 edition of <i>The Pastorals of Virgil</i>.For the attribution of this work to Blake and further discussion of the relationship among the Virgil drawings, the wood engravings, and this relief etching, see Robert N. Essick, ""A Relief Etching of Blake's Virgil Illustrations,"" <i>Blake: An Illustrated Quarterly</i>, 25.3 (winter 1991-92): 117-27.",bbwba504.info.xml,0,,0,  
The Man Sweeping the Interpreter's Parlour,spb,c. 1822,1822.A,esxx.1-2e.1.sp.100.jpg,esxx.1-2e,esxx,"<p>Blake's white-line metal cut, <i>The Man Sweeping the Interpreter's Parlour</i>, illustrates a famous passage in John Bunyan's <i>The Pilgrim's Progress</i>. Bunyan explains his allegory as a representation of how the Law (the man sweeping) is unable to dispel Sin (the dust), but the Gospel of the New Testament (the female angel laying the dust with water) can overcome Sin.</p><p>The plate is probably a ""Woodcut on Copper"" but might be a ""Woodcut on Pewter."" Blake described both processes in his Notebook (Erdman page 694). There are reasonable arguments for dating at least the first state of the plate to two very different periods of Blake's career, the mid-1790s and the 1820s. The majority of the evidence tends to favor c. 1822 for the execution of both states&mdash;see Essick pages 108-09 for discussion of the pertinent issues. The only known impression of the first state is in an American private collection and not available for reproduction.</p><p>Blake appears to have regularly prepared to-size preliminary drawings for transfer to the plates of his white-line metal cuts, but there are no recorded preliminary or related drawings for <i>The Man Sweeping</i>. His c. 1824-27 water color illustrations of <i>The Pilgrim's Progress</i> (Butlin 829), left incomplete at Blake's death, do not include a design based on the passage illustrated by <i>The Man Sweeping</i>.",esxx.info.xml,0,,0,  
Mirth,spb,c. 1816-20,1816.A,esxviii.1-1a.1.sp.100.jpg,"esxviii.1-1a,esxviii.2-2b",esxviii,"<p>The design of <i>Mirth</i> is based (with minor modifications) on Blake's first water color illustration to John Milton's <i>L'Allegro</i>, datable to c. 1816-20 (Butlin 543.1). The personification of Mirth is of course the central and largest figure, surrounded by personifications of the various forms of humor and emotional states named by Milton, including ""Laughter"" (the figure holding his sides right of Mirth's torso) and ""wrinkled Care"" (the male figure left of Mirth's right shoulder).</p><p>The first state of the plate, executed in line and stipple, was probably produced shortly after the watercolor. The graphic style is well within the compass of conventional tastes of the time and may have been intended as a commercially viable work. The second state is a complete stylistic transformation, converting the design into a line etching/engraving with dramatic contrasts of darkness and illumination. These characteristics, plus the addition of inscriptions, are typical of Blake's revisions of several of his earlier prints c. 1820-25. The inscription below the design is quoted in part from Ecclesiastes 1:2 or 12.8.",esxviii.info.xml,0,,0,
The Chaining of Orc,spb,1812,1812.A,esxvii.1-1a.1.sp.100.jpg,esxvii.1-1a,esxvii,"<p>The text of <i>Vala</i>, or <i>The Four Zoas</i>, accompanying a design generally similar to <i>The Chaining of Orc</i>, identifies the figures. Orc, the spirit of revolution, has been chained to a rock by his father, Los. He repents the deed while Orc's mother, Enitharmon, weeps in sorrow (Erdman page 342).</p><p>It is extremely difficult to determine the graphic technique (or techniques) Blake used to create <i>The Chaining of Orc</i>. The word ""Type"" in the inscription is good evidence that the print is&mdash;at least in part&mdash;a copperplate relief etching because Blake calls the plates for his illuminated books ""types"" on Plate 3 of <i>Jerusalem</i> and refers to his first relief etching as a ""Stereotype"" at the end of <i>The Ghost of Abel</i> (Erdman pages 145, 272). Further, some of the darker areas left of Orc's head appear to be embossed into the paper, suggesting that these were printed from small relief plateaus. None of Blake's other relief etchings shows the fine, stipple-like textures visible in both recessed and relief areas on the plate. This effect may have been produced by some form of sand-grain aquatint. Alternatively, the textures might have been produced by inking both relief and recessed areas with an inking ball lightly charged with very thick, tacky ink.",esxvii.info.xml,0,,0,
Chaucers Canterbury Pilgrims,spb,1810,1810.A,esxvi.1-1a.1.sp.100.jpg,"esxvi.1-1a,esxvi.2-2c,esxvi.3-3i,esxvi.4-4dd",esxvi,"<p>Blake included his tempera painting of <i>Sir Geoffrey Chaucer and the Nine and Twenty Pilgrims on Their Journey to Canterbury</i> (Butlin 653) in his 1809 exhibition. The <i>Descriptive Catalogue</i> for the exhibit includes a long, detailed description of the work and defense of its style and historical accuracy. Blake's engraving of this design&mdash;his largest and most ambitious&mdash;is dated 1810 in its imprint. There are at least four (possibly five) states of the plate. The first, known in a single impression, includes the 1810 imprint and other inscriptions but may be a proof never issued by Blake. The second state, datable to the same year, exists in only two impressions, both at least partly hand colored, possibly by Blake or his wife Catherine. The considerably darkened third state probably also dates from 1810 and can be considered the finished state of the plate at that time. The characteristics of the fourth state, with its burnished highlights and scratched inscriptions referring to war, money, and politics, indicate that it was produced late in Blake's career, c. 1820-25. The final (fifth) state of the plate may not be a true ""state,"" as properly defined, but simply later impressions of the fourth state after the scratched inscriptions had worn off the copperplate. Posthumous impressions were printed by the London art dealer Colnaghi over many years, beginning in 1881. The Philadelphia book dealer Charles Sessler printed more impressions in 1941. The original copperplate is now in the Yale University Art Gallery,  New Haven, Connecticut.</p><p>Blake's design was embroiled in controversy even before he executed the engraving. Who first had the idea of producing a panoramic view of Chaucer's Pilgrims setting off on their journey? John Thomas Smith, writing in 1828, contended that late in 1805 Robert H. Cromek, the publisher of the 1808 edition of Robert Blair's <i>The Grave</i> with Blake's illustrations, saw Blake's sketches for his Chaucer painting and subsequently commissioned Thomas Stothard to paint the same subject (Bentley, <i>Records</i>, page 614). His painting was exhibited at Cromek's house two years before Blake's 1809 exhibition and Cromek planned to publish an engraving of it. Blake was harshly critical of Stothard's picture in <i>A Descriptive Catalogue</i>. Smith also offers Stothard's version of the story, one in which Blake visited Stothard while the latter was working on his design, with the implication that Blake was prompted to execute what he thought would be a more historically accurate rendition of the pilgrims (Bentley, <i>Records</i>, pages 614-15). Cromek, in a letter of 1807, claimed that the idea for the Chaucer design was his (Bentley, <i>Records</i>, page 235). The engraving of Stothard's design was not completed until 1817. For a balanced overview of the contending narratives, see William Blake's Canterbury Pilgrims under Archive Exhibitions.",esxvi.info.xml,0,,0,
Enoch,spb,c. 1806-07,1806.A,esxv.1-1a.1.sp.100.jpg,esxv.1-1a,esxv,"<p><i>Enoch</i> is Blake's only lithograph, the graphic technique of drawing and printing from a stone matrix invented in the mid-1790s by Alois Senefelder in Germany. Blake's production of <i>Enoch</i> was very probably connected with the reissues of <i>Specimens of Polyautography</i> in 1806 and 1807 by Georg Jacob Vollweiler, owner of the English patent for polyautographs (as lithographs were then called). Vollweiler lent lithographic stones to a number of artists, apparently including Blake, but <i>Enoch</i> was not included in <i>Specimens</i>. Only five impressions are known; four are on buff (light beige) or light chocolate brown wove paper of a type used by Vollweiler for lithographs by other artists. The impression on buff paper at Northwestern University Library has a watermark dated 1806. The pencil sketch generally titled <i>In Maiden Meditation, Fancy-Free</i> (Butlin 582 recto and verso) might be a preliminary drawing for <i>Enoch</i>.</p><p>A pen and ink inscription by George Cumberland on the verso of the copy of <i>Enoch</i> now in the Metropolitan Museum of Art, New York, describes Blake's introduction of his own techniques into the lithographic process. According to Cumberland, Blake did not use lithographic ink or crayon to draw his design but substituted a mixture of asphaltum and linseed oil. Even when introduced to a new graphic process, Blake could not resist further experimentation.</p><p>The Hebrew inscription&mdash;""Enoch""&mdash;on the open book held by the central, patriarchal figure identifies him as the father of Methuselah and the great-grandfather of Noah. He is surrounded by representatives of music, painting, and poetry. The Hebrew inscription on the tablet held by the youthful male hovering on the right is from Genesis 5:24, ""And Enoch walked with God&hellip;."" Eusebius and other early theologians, both Christian and Jewish, credited Enoch with the invention of writing and considered him to have been a divinely inspired instructor in many fields of learning.</p><p>Late in his life, c. 1824-27, Blake drew five pencil sketches illustrating an English translation of the Ethiopian Book of Enoch (Butlin 827). This project is distinct from the <i>Enoch</i> lithograph and does not contain a similar design.",esxv.info.xml,0,,0, 
